place_id,google_id,name,category,subtypes,website,phone,address,city,postal_code,country,rating,reviews,business_status,google_maps_url,query,email,linkedin,facebook,instagram,relevant,priority,property_type,estimated_property_count,independent_operator,ideal_customer,claude_reason
ChIJs9UN0DUDdkgRutjvuNcU2no,0x48760335d00dd5b3:0x7ada14d7b8efd8ba,Wombat's City Hostel London,Hostel,"Hostel, Bar",,+44 20 7680 7600,,London,E1 8LL,United Kingdom of Great Britain and Northern Ireland,4.4,3790,OPERATIONAL,"https://www.google.com/maps/place/Wombat%27s+City+Hostel+London/@51.510505599999995,-0.068171,14z/data=!4m8!1m2!2m1!1sWombat%27s+City+Hostel+London!3m4!1s0x48760335d00dd5b3:0x7ada14d7b8efd8ba!8m2!3d51.510505599999995!4d-0.068171",hostel London United Kingdom,,,,,true,A,Hostel,1,true,true,Operating hostel matches ideal customer accommodation types; Independently operates single property in London; Clear operational focus with strong review engagement
ChIJEWSsmdwQdkgRPbB44m_Ah-s,0x487610dc99ac6411:0xeb87c06fe278b03d,London Backpackers,Youth hostel,"Youth hostel, Hostel",https://www.londonbackpackers.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMB_website_URL,+44 20 8203 1319,"Queens Parade, 8-10, Queens Rd, London NW4 3NS",London,NW4 3NS,United Kingdom of Great Britain and Northern Ireland,4.6,2899,OPERATIONAL,"https://www.google.com/maps/place/London+Backpackers/@51.5826601,-0.2262547,14z/data=!4m8!1m2!2m1!1sLondon+Backpackers!3m4!1s0x487610dc99ac6411:0xeb87c06fe278b03d!8m2!3d51.5826601!4d-0.2262547",hostel London United Kingdom,,,,,true,A,Hostel,1,true,true,Independent single-location hostel operator; Strong online presence and good reviews (4.6 rating); Perfect fit for PulseHub's ideal customer profile
ChIJu1UiKl4DdkgRGOOjQBEm3-4,0x4876035e2a2255bb:0xeedf261140a3e318,Restup London,Hostel,Hostel,https://www.restup.co.uk/,+44 20 3642 4549,"Driscoll House, 172 New Kent Rd, London SE1 4YT",London,SE1 4YT,United Kingdom of Great Britain and Northern Ireland,3.3,2869,OPERATIONAL,"https://www.google.com/maps/place/Restup+London/@51.4939937,-0.0906775,14z/data=!4m8!1m2!2m1!1sRestup+London!3m4!1s0x4876035e2a2255bb:0xeedf261140a3e318!8m2!3d51.4939937!4d-0.0906775",hostel London United Kingdom,,,,,true,A,Hostel,1,true,true,Independent single-location hostel operator; Sole property focus; Strong candidate for founder-led outreach
ChIJxfQdClUFdkgRuYx8KD9Aq7Q,0x487605550a1df4c5:0xb4ab403f287c8cb9,Smart Hyde Park Inn,Hostel,"Hostel, Hotel",,+44 20 7123 9355,,London,W2 3JA,United Kingdom of Great Britain and Northern Ireland,3.3,2273,OPERATIONAL,"https://www.google.com/maps/place/Smart+Hyde+Park+Inn/@51.5123837,-0.1860599,14z/data=!4m8!1m2!2m1!1sSmart+Hyde+Park+Inn!3m4!1s0x487605550a1df4c5:0xb4ab403f287c8cb9!8m2!3d51.5123837!4d-0.1860599",hostel London United Kingdom,,,,,true,A,Hostel,1,true,true,Independent hostel operator in London; Core business is accommodation management; Matches ideal customer profile
ChIJ06ltalMFdkgRKuYlJvvKnhI,0x487605536a6da9d3:0x129ecafb2625e62a,Smart Hyde Park View,Hostel,"Hostel, Hotel",,+44 20 7101 7763,,London,W2 3EU,United Kingdom of Great Britain and Northern Ireland,3.7,2024,OPERATIONAL,"https://www.google.com/maps/place/Smart+Hyde+Park+View/@51.51177,-0.182925,14z/data=!4m8!1m2!2m1!1sSmart+Hyde+Park+View!3m4!1s0x487605536a6da9d3:0x129ecafb2625e62a!8m2!3d51.51177!4d-0.182925",hostel London United Kingdom,,,,,true,A,Hostel,1,true,true,Independent hostel operator in London; Core business is accommodation management; Matches ideal customer profile
ChIJ39LzkscPdkgRfoG7OS_qhfQ,0x48760fc792f3d2df:0xf485ea2f39bb817e,Abercorn House London,Hotel,"Hotel, Group accommodation, Hostel, Serviced accommodation",,+44 20 8563 8692,,London,W6 7DR,United Kingdom of Great Britain and Northern Ireland,3.4,1180,OPERATIONAL,"https://www.google.com/maps/place/Abercorn+House+London/@51.494488399999994,-0.22209099999999998,14z/data=!4m8!1m2!2m1!1sAbercorn+House+London!3m4!1s0x48760fc792f3d2df:0xf485ea2f39bb817e!8m2!3d51.494488399999994!4d-0.22209099999999998",guest house London United Kingdom,,,,,true,A,Hotel/Group accommodation,1,true,true,Independent hotel/group accommodation operator in London; Core business is accommodation management; Matches ideal customer profile
ChIJafxqoXkQdkgRnbv6Ld02VkE,0x48761079a16afc69:0x415636dd2dfabb9d,Charlotte Guest House,Guest house,"Guest house, Serviced accommodation",https://www.charlotteguesthouse.co.uk/,+44 20 7794 6476,"195, 197 Sumatra Rd, London NW6 1PF",London,NW6 1PF,United Kingdom of Great Britain and Northern Ireland,4.4,768,OPERATIONAL,"https://www.google.com/maps/place/Charlotte+Guest+House/@51.548801499999996,-0.1923311,14z/data=!4m8!1m2!2m1!1sCharlotte+Guest+House!3m4!1s0x48761079a16afc69:0x415636dd2dfabb9d!8m2!3d51.548801499999996!4d-0.1923311",guest house London United Kingdom,,,,,true,A,Guest House,1,true,true,Independent guest house operator managing single serviced accommodation property; Exact fit for ideal customer profile; Small owner-operated accommodation business
ChIJd6g8o1UEdkgRh0nfJ_BnYaI,0x48760455a33ca877:0xa26167f027df4987,Chelsea Guest House,Guest house,"Guest house, Hotel",http://www.chelseaguesthouse.co.uk/,+44 20 7627 6262,"372 Wandsworth Rd, Nine Elms, London SW8 4TE",London,SW8 4TE,United Kingdom of Great Britain and Northern Ireland,4.0,636,OPERATIONAL,"https://www.google.com/maps/place/Chelsea+Guest+House/@51.4714161,-0.1372332,14z/data=!4m8!1m2!2m1!1sChelsea+Guest+House!3m4!1s0x48760455a33ca877:0xa26167f027df4987!8m2!3d51.4714161!4d-0.1372332",guest house London United Kingdom,,,,,true,A,Guest house,1,true,true,Independent guest house operator; Core business is accommodation management; Single property with strong online presence
ChIJw6CY5mIFdkgRlvSMs9tKaUk,0x48760562e698a0c3:0x49694adbb38cf496,Chelsea House Hotel,Bed & breakfast,Bed & breakfast,http://www.chelsea-house.co.uk/,+44 20 7244 7700,"96 Redcliffe Gardens, London SW10 9HH",London,SW10 9HH,United Kingdom of Great Britain and Northern Ireland,3.7,491,OPERATIONAL,"https://www.google.com/maps/place/Chelsea+House+Hotel/@51.4888493,-0.1901863,14z/data=!4m8!1m2!2m1!1sChelsea+House+Hotel!3m4!1s0x48760562e698a0c3:0x49694adbb38cf496!8m2!3d51.4888493!4d-0.1901863",guest house London United Kingdom,,,,,true,A,Bed & breakfast,1,true,true,Independent bed & breakfast operator; Single property focused on accommodation; Core business is guest management
ChIJKVSWXSEbdkgR0bow4nBgXFQ,0x48761b215d965429:0x545c6070e230bad1,The Pack and Carriage,Guest house,"Guest house, Bar, Bed & breakfast, Hotel",http://www.thepackandcarriage.london/,+44 20 7916 2181,"162 Eversholt St, London NW1 1BL",London,NW1 1BL,United Kingdom of Great Britain and Northern Ireland,4.0,472,OPERATIONAL,"https://www.google.com/maps/place/The+Pack+and+Carriage/@51.5319831,-0.1356239,14z/data=!4m8!1m2!2m1!1sThe+Pack+and+Carriage!3m4!1s0x48761b215d965429:0x545c6070e230bad1!8m2!3d51.5319831!4d-0.1356239",guest house London United Kingdom,,,,,true,A,Guest house,1,true,true,Independent guest house operator; Operates accommodation as core business; Ideal property scale for PulseHub
